Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
Singapore,SG,,,,1.35,103.82,20939,confirmed,2020-05-07T00:00:00Z
Singapore,SG,,,,1.35,103.82,21707,confirmed,2020-05-08T00:00:00Z
Singapore,SG,,,,1.35,103.82,22460,confirmed,2020-05-09T00:00:00Z
Singapore,SG,,,,1.35,103.82,23336,confirmed,2020-05-10T00:00:00Z
Singapore,SG,,,,1.35,103.82,23822,confirmed,2020-05-11T00:00:00Z
Singapore,SG,,,,1.35,103.82,24671,confirmed,2020-05-12T00:00:00Z
Singapore,SG,,,,1.35,103.82,25346,confirmed,2020-05-13T00:00:00Z
Singapore,SG,,,,1.35,103.82,26098,confirmed,2020-05-14T00:00:00Z
Singapore,SG,,,,1.35,103.82,26891,confirmed,2020-05-15T00:00:00Z
Singapore,SG,,,,1.35,103.82,27356,confirmed,2020-05-16T00:00:00Z
Singapore,SG,,,,1.35,103.82,28038,confirmed,2020-05-17T00:00:00Z
Singapore,SG,,,,1.35,103.82,28343,confirmed,2020-05-18T00:00:00Z
Singapore,SG,,,,1.35,103.82,28794,confirmed,2020-05-19T00:00:00Z
Singapore,SG,,,,1.35,103.82,29364,confirmed,2020-05-20T00:00:00Z
Singapore,SG,,,,1.35,103.82,29812,confirmed,2020-05-21T00:00:00Z
Singapore,SG,,,,1.35,103.82,30426,confirmed,2020-05-22T00:00:00Z
Singapore,SG,,,,1.35,103.82,31068,confirmed,2020-05-23T00:00:00Z
Singapore,SG,,,,1.35,103.82,31616,confirmed,2020-05-24T00:00:00Z
Singapore,SG,,,,1.35,103.82,31960,confirmed,2020-05-25T00:00:00Z
Singapore,SG,,,,1.35,103.82,32343,confirmed,2020-05-26T00:00:00Z
Singapore,SG,,,,1.35,103.82,32876,confirmed,2020-05-27T00:00:00Z
Singapore,SG,,,,1.35,103.82,33249,confirmed,2020-05-28T00:00:00Z
Singapore,SG,,,,1.35,103.82,33860,confirmed,2020-05-29T00:00:00Z
Singapore,SG,,,,1.35,103.82,34366,confirmed,2020-05-30T00:00:00Z
Singapore,SG,,,,1.35,103.82,34884,confirmed,2020-05-31T00:00:00Z
Singapore,SG,,,,1.35,103.82,35292,confirmed,2020-06-01T00:00:00Z
Singapore,SG,,,,1.35,103.82,35836,confirmed,2020-06-02T00:00:00Z
Singapore,SG,,,,1.35,103.82,36405,confirmed,2020-06-03T00:00:00Z
Singapore,SG,,,,1.35,103.82,36922,confirmed,2020-06-04T00:00:00Z
Singapore,SG,,,,1.35,103.82,37183,confirmed,2020-06-05T00:00:00Z
Singapore,SG,,,,1.35,103.82,37527,confirmed,2020-06-06T00:00:00Z
Singapore,SG,,,,1.35,103.82,37910,confirmed,2020-06-07T00:00:00Z
Singapore,SG,,,,1.35,103.82,38296,confirmed,2020-06-08T00:00:00Z
